transaction_id,customer_id,merchant_id,transaction_amount,transaction_currency,transaction_date,payment_method,product_category,product_name,status,region,timestamp,ip_address,device_type
TXN-1000060,244474,MERCH-811843,28315.81,USD,2026-05-14,Debit Card,Beauty,Skin Cleanser,Failed,India,2026-05-14 13:50:32,114.174.157.70,Tablet
TXN-1000061,952151,MERCH-731405,45425.22,INR,2026-07-06,Credit Card,Books,ML Handbook,Failed,Latin America,2026-07-06 12:35:04,95.120.178.162,Mobile
TXN-1000062,837164,MERCH-319091,29399.46,INR,2026-02-21,Debit Card,Books,ML Handbook,Failed,US-West,2026-02-21 14:17:39,60.157.210.51,Desktop
TXN-1000063,640799,MERCH-469077,46473.69,USD,2026-06-01,Debit Card,Books,Python Programming,Failed,US-West,2026-06-01 10:39:42,206.42.84.11,Mobile
TXN-1000064,957128,MERCH-484265,10784.12,INR,2026-05-23,Debit Card,Books,Python Programming,Failed,US-East,2026-05-23 17:33:03,156.169.61.168,Mobile
TXN-1000065,472452,MERCH-801986,33598.39,EUR,2026-06-20,Cash,Home,Coffee Maker,Failed,Europe,2026-06-20 23:25:01,158.125.80.111,Desktop
TXN-1000066,313906,MERCH-780147,7194.05,AUD,2026-03-27,Bank Transfer,Sports,Yoga Mat,Failed,Latin America,2026-03-27 04:43:37,180.242.203.51,Mobile
TXN-1000067,99034,MERCH-317351,24935.74,AUD,2026-06-21,Debit Card,Food,Protein Bars,Completed,India,2026-06-21 00:31:46,197.161.238.172,Desktop
TXN-1000068,828980,MERCH-281282,21595.78,GBP,2026-03-14,Cash,Books,Python Programming,Completed,Europe,2026-03-14 08:15:09,159.53.252.49,Mobile
TXN-1000069,487499,MERCH-338896,-364.31,CAD,2026-05-07,Credit Card,Sports,Yoga Mat,Refunded,Asia-Pacific,2026-05-07 17:19:06,195.116.164.7,Mobile
TXN-1000070,122008,MERCH-730408,695701.0,INR,2026-07-18,Bank Transfer,Clothing,Running Shoes,Refunded,Europe,2026-07-18 11:54:07,60.250.92.246,Tablet
TXN-1000071,9639,MERCH-675201,26357.27,AUD,2026-03-26,Wallet,Clothing,Running Shoes,Completed,Europe,2026-03-26 14:28:24,39.46.62.46,Tablet
TXN-1000072,855642,MERCH-815830,36059.13,AUD,2026-06-28,Cash,Sports,Football,Failed,US-West,2026-06-28 23:51:27,96.97.42.67,Tablet
TXN-1000073,741183,MERCH-965830,35125.84,EUR,2026-04-05,Bank Transfer,Clothing,Running Shoes,Completed,US-West,2026-04-05 21:38:14,40.247.154.89,Desktop
TXN-1000074,476196,MERCH-700484,32633.02,USD,2026-08-19,Debit Card,Beauty,Skin Cleanser,Pending,US-East,2026-08-19 08:08:51,70.47.126.47,Tablet
TXN-1000075,675633,MERCH-289940,26539.19,INR,2026-06-19,Cash,Beauty,Face Serum,Failed,Asia-Pacific,2026-06-19 01:24:36,108.67.250.201,Tablet
TXN-1000076,316855,MERCH-936670,-4998.25,USD,2026-07-16,Wallet,Sports,Football,Refunded,US-West,2026-07-16 13:17:49,118.140.191.124,Tablet
TXN-1000077,542738,MERCH-518336,-1153.05,USD,2026-06-19,Cash,Electronics,Wireless Headphones,Refunded,Latin America,2026-06-19 11:54:08,243.50.57.6,Tablet
TXN-1000078,520667,MERCH-305199,-2692.27,AUD,2026-04-11,Debit Card,Electronics,Wireless Headphones,Refunded,Europe,2026-04-11 12:51:40,167.51.133.160,Mobile
TXN-1000079,656742,MERCH-906347,33187.62,GBP,2026-08-11,Wallet,Beauty,Face Serum,Failed,Asia-Pacific,2026-08-11 09:08:34,210.101.83.33,Mobile
TXN-1000080,111523,MERCH-646910,31697.19,INR,2026-05-16,Credit Card,Books,Python Programming,Pending,India,2026-05-16 00:23:39,195.218.145.11,Tablet
TXN-1000081,666196,MERCH-205428,32789.89,GBP,2026-05-25,Bank Transfer,Food,Olive Oil,Failed,US-West,2026-05-25 14:37:40,80.52.151.85,Desktop
TXN-1000082,165891,MERCH-479473,24283.38,INR,2026-03-12,Cash,Home,Desk Lamp,Pending,US-East,2026-03-12 20:08:09,164.112.190.13,Tablet
TXN-1000083,219353,MERCH-344498,24655.97,USD,2026-02-26,Debit Card,Clothing,Running Shoes,Failed,India,2026-02-26 07:10:55,158.33.68.64,Desktop
TXN-1000084,66949,MERCH-774640,37435.97,AUD,2026-05-15,Cash,Books,ML Handbook,Completed,India,2026-05-15 19:57:14,245.233.172.41,Mobile
TXN-1000085,953375,MERCH-067642,-1992.58,CAD,2026-05-24,Wallet,Electronics,Bluetooth Speaker,Refunded,India,2026-05-24 12:44:11,215.148.109.45,Desktop
TXN-1000086,194097,MERCH-795756,36214.7,INR,2026-04-04,Wallet,Books,ML Handbook,Completed,Asia-Pacific,2026-04-04 22:07:01,128.5.160.240,
TXN-1000087,138776,MERCH-352123,8194.15,AUD,2026-08-03,Debit Card,Electronics,Bluetooth Speaker,Completed,Europe,2026-08-03 07:12:48,64.114.6.10,Mobile
TXN-1000088,725979,MERCH-172782,16485.77,AUD,2026-04-19,Bank Transfer,Food,Protein Bars,Failed,India,2026-04-19 15:37:42,160.61.30.109,Mobile
TXN-1000089,149603,MERCH-959733,37124.66,INR,2026-03-04,Cash,Home,Coffee Maker,Completed,Latin America,2026-03-04 07:52:35,36.64.58.63,Mobile
TXN-1000090,246402,MERCH-004350,15328.43,AUD,2026-03-13,Wallet,Electronics,Bluetooth Speaker,Failed,Europe,2026-03-13 11:56:07,62.132.235.80,Mobile
TXN-1000091,82694,MERCH-809606,36923.22,AUD,2026-02-21,Cash,Beauty,Face Serum,Pending,India,2026-02-21 16:25:15,95.218.86.235,Desktop
TXN-1000092,77430,MERCH-820371,21848.89,USD,2026-03-30,Credit Card,Beauty,Face Serum,Completed,US-East,2026-03-30 15:25:12,134.215.180.136,Tablet
TXN-1000093,363829,MERCH-763033,36255.38,EUR,2026-04-01,Debit Card,Sports,Yoga Mat,Failed,India,2026-04-01 18:10:39,223.149.165.179,Desktop
TXN-1000094,94328,MERCH-287816,-100.97,CAD,2026-08-03,Credit Card,Beauty,Skin Cleanser,Refunded,Europe,2026-08-03 13:42:46,206.171.119.87,Mobile
TXN-1000095,559127,MERCH-776451,6902.42,CAD,2026-03-01,Wallet,Books,ML Handbook,Pending,Asia-Pacific,2026-03-01 20:41:55,240.148.241.74,Mobile
TXN-1000096,98107,MERCH-494083,22742.85,EUR,2026-03-07,Bank Transfer,Books,Bluetooth Speaker,Completed,Asia-Pacific,2026-03-07 07:44:24,80.83.138.195,Tablet
TXN-1000097,760694,MERCH-553333,43889.37,USD,2026-03-01,Bank Transfer,Sports,Football,Completed,India,2026-03-01 04:08:30,227.110.36.248,Tablet
TXN-1000098,89276,MERCH-103959,7012.77,CAD,2026-06-10,Cash,Home,Coffee Maker,Failed,Europe,2026-06-10 10:08:20,238.176.112.76,Mobile
TXN-1000099,661617,MERCH-036586,-3863.71,GBP,2026-04-07,Debit Card,Books,Python Programming,Refunded,Europe,2026-04-07 14:42:34,56.117.19.54,Mobile
TXN-1000100,137817,MERCH-328802,43236.78,EUR,2026-04-10,Wallet,Beauty,Face Serum,Pending,US-East,2026-04-10 12:22:52,61.108.244.187,Desktop
TXN-1000101,900329,MERCH-750975,14504.89,EUR,2026-08-18,Bank Transfer,Beauty,Face Serum,Completed,Asia-Pacific,2026-08-18 05:52:18,80.77.198.245,Mobile
TXN-1000102,381974,MERCH-307467,11289.07,EUR,2026-04-28,Bank Transfer,Sports,Yoga Mat,Completed,India,2026-04-28 21:53:56,148.17.50.196,Desktop
TXN-1000103,128900,MERCH-152319,40648.41,EUR,2026-08-14,Cash,Beauty,Face Serum,Failed,Latin America,2026-08-14 17:53:33,2.16.226.24,Mobile
TXN-1000104,190698,MERCH-727540,41029.67,INR,2026-03-01,Bank Transfer,Home,Desk Lamp,Pending,US-East,2026-03-01 00:54:44,251.254.155.66,Mobile
TXN-1000105,561880,MERCH-190579,31573.43,EUR,2026-03-19,Debit Card,Sports,Football,Completed,Europe,2026-03-19 05:31:01,104.218.36.81,Tablet
TXN-1000106,806808,MERCH-236695,41856.11,CAD,2026-06-08,,Home,Desk Lamp,Completed,India,2026-06-08 10:56:04,228.53.96.172,Tablet
TXN-1000107,892301,MERCH-792062,-187.32,AUD,2026-06-04,Cash,Electronics,Wireless Headphones,Refunded,Asia-Pacific,2026-06-04 14:14:13,219.98.31.146,Tablet
TXN-1000108,207257,MERCH-046205,5197.35,EUR,2026-05-23,Cash,Food,Olive Oil,Failed,India,2026-05-23 16:59:47,52.45.67.106,Desktop
TXN-1000109,586477,MERCH-273244,5161.43,INR,2026-03-23,Credit Card,Beauty,Face Serum,Pending,US-East,2026-03-23 10:42:25,105.249.210.228,Tablet
TXN-1000110,518439,MERCH-406732,-4939.35,EUR,2026-03-27,Debit Card,Food,Olive Oil,Refunded,US-East,2026-03-27 13:43:05,93.53.231.188,Mobile
TXN-1000111,232507,MERCH-325101,49563.36,AUD,2026-05-07,Wallet,Sports,Yoga Mat,Completed,Latin America,2026-05-07 08:36:10,79.138.44.134,Desktop
TXN-1000112,,MERCH-566677,-158.49,USD,2026-06-03,Wallet,Beauty,Face Serum,Refunded,India,2026-06-03 02:16:58,19.139.56.12,Tablet
TXN-1000000,278095,MERCH-926725,2244.41,GBP,2026-04-09,Cash,Food,Olive Oil,Pending,Asia-Pacific,2026-01-01 10:10:10,143.49.229.203,Mobile
TXN-1000114,966771,MERCH-283476,12302.53,INR,2026-05-06,Cash,Food,Olive Oil,Failed,Asia-Pacific,2026-05-06 01:21:18,134.184.9.51,Desktop
TXN-1000115,906948,MERCH-576669,17803.48,GBP,2026-02-23,Cash,Books,ML Handbook,Pending,India,2026-02-23 01:07:40,173.162.232.150,Mobile
TXN-1000116,957722,MERCH-699145,25620.57,AUD,2026-07-02,Debit Card,Clothing,Running Shoes,Pending,Asia-Pacific,2026-07-02 09:45:34,193.221.144.226,Tablet
TXN-1000117,904785,MERCH-771185,24660.52,INR,2026-02-25,Wallet,Books,ML Handbook,Pending,Asia-Pacific,2026-02-25 15:54:03,151.158.166.26,Desktop
TXN-1000118,301009,MERCH-123533,-352.58,USD,2026-04-05,Debit Card,Food,Protein Bars,Refunded,Asia-Pacific,2026-04-05 11:09:43,161.93.181.18,Tablet
TXN-1000119,970478,MERCH-698451,3872.43,AUD,2026-05-20,Bank Transfer,Beauty,Face Serum,Completed,US-East,2026-05-20 22:28:44,45.132.233.229,Mobile
TXN-1000120,676554,MERCH-722757,8004.61,USD,2026-04-08,Cash,Electronics,Wireless Headphones,Completed,US-West,2026-04-08 03:15:21,10.138.187.211,Mobile
TXN-1000121,146396,MERCH-449959,9213.71,EUR,2026-05-23,,Home,Desk Lamp,Completed,US-East,2026-05-23 08:39:55,17.198.163.254,Tablet
TXN-1000122,367717,MERCH-161819,36560.85,AUD,2026-03-31,Bank Transfer,Electronics,Wireless Headphones,Completed,Latin America,2026-03-31 13:29:03,14.59.17.162,Mobile
TXN-1000123,925866,MERCH-310375,10471.41,BIT,2026-07-02,Credit Card,Electronics,Bluetooth Speaker,Completed,Asia-Pacific,2026-07-02 14:49:34,229.118.124.80,Mobile
TXN-1000124,116279,MERCH-627995,37205.03,INR,2026-04-17,Wallet,Books,ML Handbook,Failed,Latin America,2026-04-17 06:24:20,91.35.91.27,Tablet
TXN-1000125,563906,MERCH-390300,23326.71,GBP,2026-07-29,Bank Transfer,Electronics,Bluetooth Speaker,Pending,Latin America,2026-07-29 02:35:21,231.8.48.107,Desktop
TXN-1000126,802523,MERCH-808391,26162.66,GBP,2026-04-26,Cash,Sports,Football,Pending,Asia-Pacific,2026-04-26 07:36:30,87.169.97.21,Desktop
TXN-1000127,741870,MERCH-578862,38473.28,GBP,2026-06-29,Cash,Clothing,Winter Jacket,Failed,India,2026-06-29 13:46:02,123.194.48.115,Desktop
TXN-1000128,417236,MERCH-541660,2338.04,EUR,2026-04-26,Wallet,Electronics,Wireless Headphones,Completed,US-West,2026-04-26 08:40:59,35.169.220.27,Tablet
TXN-1000129,540701,MERCH-975593,48479.12,EUR,,Cash,Books,Python Programming,Pending,Latin America,2026-05-19 12:54:31,80.233.55.138,Mobile
TXN-1000130,867047,MERCH-945053,-1367.02,AUD,2026-07-15,Credit Card,Clothing,Running Shoes,Refunded,US-East,2026-07-15 03:14:39,119.207.205.14,Mobile
TXN-1000131,952288,MERCH-847961,46524.65,GBP,2026-03-06,Bank Transfer,Books,ML Handbook,Completed,US-East,2026-03-06 09:03:00,237.176.141.50,Mobile
TXN-1000132,441491,MERCH-654695,17811.53,INR,2026-05-16,Wallet,Clothing,Running Shoes,Pending,Latin America,2026-05-16 02:01:50,109.76.13.52,Tablet
TXN-1000133,395275,MERCH-138349,7981.85,EUR,2026-05-04,Debit Card,Beauty,Football,Pending,Latin America,2026-05-04 10:19:12,252.214.106.116,Tablet
TXN-1000134,55290,MERCH-777468,43168.61,GBP,2026-06-15,Credit Card,Clothing,Running Shoes,Failed,US-West,2026-06-15 14:02:09,165.8.18.212,Mobile
TXN-1000135,561820,MERCH-930589,8024.71,CAD,2026-04-25,Credit Card,Books,Python Programming,Failed,US-East,2026-04-25 19:33:51,34.44.172.29,Desktop
TXN-1000136,883743,MERCH-037602,9892.9,USD,2026-03-16,Bank Transfer,Sports,Yoga Mat,Failed,India,2026-03-16 11:53:50,248.62.181.179,Mobile
TXN-1000137,62319,MERCH-736537,18338.07,USD,2026-05-05,Cash,Sports,Football,Completed,Europe,2026-05-05 18:34:58,172.124.69.9,Desktop
TXN-1000138,331398,MERCH-381182,19105.38,EUR,2026-02-25,Bank Transfer,Sports,Football,Completed,Europe,2026-02-25 17:23:54,33.8.105.182,Mobile
TXN-1000000,969355,MERCH-172819,-3174.09,INR,2026-08-17,Bank Transfer,Books,ML Handbook,Refunded,Latin America,2026-08-17 21:23:45,158.209.220.122,Tablet
TXN-1000140,927287,MERCH-553165,35784.37,GBP,2026-05-16,Cash,Clothing,Running Shoes,Pending,Europe,2026-05-16 16:17:55,195.169.98.193,Mobile
TXN-1000141,977897,MERCH-713810,31137.49,GBP,2026-03-20,Credit Card,Beauty,Face Serum,Failed,Latin America,2026-03-20 15:45:17,217.251.21.77,Desktop
TXN-1000142,800560,MERCH-562863,30852.29,GBP,2026-06-13,Wallet,Beauty,Face Serum,Failed,US-East,2026-06-13 15:16:04,142.195.247.91,Mobile
TXN-1000143,553578,MERCH-653584,-3310.62,GBP,2026-08-05,Debit Card,Beauty,Skin Cleanser,Refunded,India,2026-08-05 04:36:13,65.122.22.178,Desktop
TXN-1000144,513557,MERCH-659450,23655.98,USD,2026-08-19,Cash,Beauty,Face Serum,Pending,Asia-Pacific,2026-08-19 19:13:41,84.237.62.85,Mobile
TXN-1000145,240156,MERCH-276632,-4864.47,AUD,2026-03-20,Debit Card,Sports,Football,Refunded,US-East,2026-03-20 11:32:17,71.154.179.250,Desktop
TXN-1000146,987406,MERCH-315269,6683.71,EUR,2026-07-29,Credit Card,Books,ML Handbook,Completed,Latin America,2026-07-29 12:05:31,25.165.185.192,Mobile
TXN-1000147,364130,MERCH-422608,3645.01,USD,2026-08-01,Cash,Home,Desk Lamp,Pending,US-West,2026-08-01 12:48:29,125.227.149.192,Tablet
TXN-1000148,457157,MERCH-501388,42082.18,USD,2026-05-02,Bank Transfer,Home,Coffee Maker,Pending,Asia-Pacific,2026-05-02 09:14:08,183.113.165.129,Desktop
TXN-1000149,538932,MERCH-301670,-2660.15,INR,2026-06-04,Cash,Food,Olive Oil,Refunded,US-East,2026-06-04 10:24:04,152.67.10.14,Mobile
TXN-1000150,153427,MERCH-637824,12219.42,CAD,2026-06-01,Credit Card,Sports,Yoga Mat,Completed,India,2026-06-01 06:46:29,162.23.118.83,Mobile
TXN-1000151,79214,MERCH-079255,22044.05,EUR,2026-05-17,Credit Card,Beauty,Face Serum,Failed,India,2026-05-17 10:47:10,192.2.69.220,Mobile
TXN-1000152,112833,MERCH-225598,14682.44,AUD,2026-08-01,Cash,Books,ML Handbook,Completed,Europe,2026-08-01 23:25:29,157.112.254.237,Mobile
TXN-1000153,640901,MERCH-238110,5725.02,GBP,2026-06-05,Credit Card,Beauty,Face Serum,Failed,US-West,2026-06-05 20:55:02,109.97.178.200,Desktop
TXN-1000154,614317,MERCH-215789,-2974.71,INR,2026-04-30,Debit Card,Beauty,Face Serum,Refunded,Asia-Pacific,2026-04-30 08:24:48,81.252.86.15,Desktop
TXN-1000155,271085,MERCH-416140,43860.58,CAD,2026-03-01,Debit Card,Beauty,Skin Cleanser,Pending,US-West,2026-03-01 03:54:24,224.12.36.137,Mobile
TXN-1000156,520806,MERCH-291992,-1707.11,EUR,2026-05-24,Bank Transfer,Books,ML Handbook,Refunded,Europe,2026-05-24 15:51:37,193.165.201.27,Desktop
TXN-1000157,551559,MERCH-624504,28671.51,EUR,2026-03-03,Credit Card,Food,Protein Bars,Failed,Latin America,2026-03-03 05:59:14,59.185.108.20,Tablet
TXN-1000158,343090,MERCH-944289,-3600.48,EUR,2026-08-16,Wallet,Beauty,Skin Cleanser,Refunded,Latin America,2026-08-16 01:45:21,91.63.83.181,Mobile
TXN-1000159,521099,MERCH-046870,13806.12,CAD,2026-03-11,Wallet,Home,Desk Lamp,Failed,Latin America,2026-03-11 22:09:09,66.31.29.109,Desktop
